step,msd_global,n_round,n_elongated
0,0.0,1000,0
100,15.696475273039944,1000,0
200,18.475266752219596,990,10
300,23.321204966349548,982,18
400,24.55920578897908,970,30
500,27.059028803209674,959,41
600,32.02102714786432,941,59
700,34.00849834302917,926,74
800,41.52445035815895,903,97
900,49.35883740752777,880,120
1000,55.448635181178965,862,138
1100,60.42957484134294,843,157
1200,70.35128499269939,832,168
1300,78.51529223631445,821,179
1400,88.07413446954757,810,190
1500,96.07498689460927,797,203
1600,107.12926788641674,793,207
1700,111.43328169457003,785,215
1800,123.2432089164639,785,215
1900,136.70385891365584,787,213
2000,155.1995904989601,786,214
2100,173.2471768398849,780,220
2200,187.17679472451866,767,233
2300,207.68690264604862,766,234
2400,220.72258310286108,755,245
2500,220.86533426162003,752,248
2600,223.72069858405703,755,245
2700,241.57069143448368,750,250
2800,260.05794510633376,750,250
2900,267.09855800619187,751,249
3000,285.1571966076779,756,244
3100,311.1437646842789,764,236
3200,337.21772040445893,762,238
3300,365.67129641172164,755,245
3400,395.64025058773194,748,252
3500,425.38211999758164,741,259
3600,450.1710907011768,737,263
3700,475.6412919929848,725,275
3800,499.65499544943526,730,270
3900,521.500980010939,721,279
4000,549.1575213547166,714,286
4100,556.7085407239647,713,287
4200,592.6059748320627,701,299
4300,638.1121125804715,697,303
4400,674.2465529155169,697,303
4500,720.4303796619128,690,310
4600,750.714695119533,679,321
4700,781.6683029595763,671,329
4800,802.8332503879913,663,337
4900,824.6570132068798,654,346
5000,838.145047590179,635,365
5100,881.159947492607,631,369
5200,927.5842234842244,641,359
5300,976.6938757978871,637,363
5400,1037.5757310724841,634,366
5500,1103.0302772183902,620,380
5600,1172.5783242294642,615,385
5700,1246.0317861457074,617,383
5800,1313.8594954439066,625,375
5900,1376.030102312589,628,372
6000,1417.981392838808,625,375
6100,1447.4753044753754,615,385
6200,1464.556009275615,608,392
6300,1470.01877182756,601,399
6400,1493.5123867913364,598,402
6500,1515.567106722059,588,412
6600,1553.353639290186,582,418
6700,1613.6037343691544,589,411
6800,1685.5473383952803,596,404
6900,1758.353578853293,591,409
7000,1827.9945691144912,585,415
7100,1924.8389134081515,576,424
7200,2030.1695969104412,585,415
7300,2123.4324099757655,589,411
7400,2203.6748152840732,598,402
7500,2277.710127265252,601,399
7600,2350.0263003844825,587,413
7700,2416.0595295037274,564,436
7800,2492.5772106256272,559,441
7900,2560.5299466198126,551,449
8000,2646.260511136555,542,458
8100,2737.8826248802275,546,454
8200,2866.198946955675,538,462
8300,2935.3067906863876,533,467
8400,3017.29518326668,526,474
8500,3137.332602003471,520,480
8600,3257.372418466296,514,486
8700,3365.04824533609,511,489
8800,3507.2486789483332,511,489
8900,3654.0759759118687,509,491
9000,3795.9622220499746,503,497
9100,3916.0436271217554,506,494
9200,4043.7830037364465,506,494
9300,4189.987570394172,513,487
9400,4295.63753631605,506,494
9500,4441.01993452671,500,500
9600,4574.208189085079,491,509
9700,4727.424013044001,488,512
9800,4876.620772621328,491,509
9900,5023.07128755599,498,502
10000,5157.651440893666,493,507
10100,5310.6401746191,502,498
10200,5440.239274624404,496,504
10300,5613.74684043236,500,500
10400,5761.991552159783,502,498
10500,5905.032953862884,502,498
10600,6049.414837341179,497,503
10700,6175.630184182744,489,511
10800,6327.458702661315,482,518
10900,6506.059376197759,476,524
11000,6674.8399684631095,480,520
11100,6831.580317958657,483,517
11200,7016.167231406683,487,513
11300,7179.948250738479,491,509
11400,7343.651529320192,492,508
11500,7510.7365811753,477,523
11600,7681.586628282016,461,539
11700,7875.77223415239,452,548
11800,8028.527016698356,447,553
11900,8145.690608972539,431,569
12000,8266.188201503048,420,580
12100,8430.369044892203,419,581
12200,8609.725435335224,417,583
12300,8810.261237032644,424,576
12400,9054.751061484993,423,577
12500,9330.565988885688,411,589
12600,9609.975551541802,393,607
12700,9865.787336917227,375,625
12800,10111.255622772915,359,641
12900,10377.061729083876,346,654
13000,10656.618637569982,338,662
13100,10907.518424870073,322,678
13200,11144.174367167518,309,691
