step,msd_global,n_round,n_elongated
0,0.0,500,0
100,0.11071043209193185,500,0
200,152.28936678739353,0,500
300,316.36761088560274,0,500
400,449.95161043003816,2,498
500,635.5170971792661,1,499
600,772.1642014242474,2,498
700,914.4990867212349,1,499
800,1052.007017060848,0,500
900,1186.9979958252618,2,498
1000,1362.9010296496742,2,498
1100,1484.648148054864,4,496
1200,1611.856489750355,3,497
1300,1749.9790216862166,0,500
1400,1872.6401690759071,1,499
1500,1979.9892178728278,0,500
1600,2146.899133537528,4,496
1700,2316.680752979913,3,497
1800,2458.5098418628677,0,500
1900,2655.695489312887,0,500
2000,2895.256409827683,5,495
2100,3124.8489228054964,3,497
2200,3326.741639334313,6,494
2300,3425.30329597369,4,496
2400,3558.9913298555894,0,500
2500,3662.7568066916083,0,500
2600,3849.3886171784243,3,497
2700,3964.777938758977,0,500
2800,4026.3258359940874,0,500
2900,4058.2006498308856,0,500
3000,4115.451593336618,4,496
3100,4245.949986279829,2,498
3200,4482.879800278704,0,500
3300,4687.520042424777,5,495
3400,4875.73198393371,1,499
3500,5068.476386280679,2,498
3600,5234.02563293957,4,496
3700,5391.4657476421135,0,500
3800,5562.216269833162,0,500
3900,5721.693906361694,2,498
4000,5833.73481499768,2,498
4100,5881.6423048752395,4,496
4200,5986.900657477209,4,496
4300,6053.951595488326,11,489
4400,6283.670737301001,7,493
4500,6591.288616207827,2,498
4600,6860.633232045435,0,500
4700,7160.460835426664,1,499
4800,7231.34189683513,2,498
4900,7514.538139295645,1,499
5000,7941.712837667469,0,500
5100,8247.204809004346,0,500
5200,8638.731552602847,0,500
5300,9092.836098954682,0,500
5400,9506.043387097805,2,498
5500,9814.803593761182,2,498
5600,10194.2765848551,4,496
5700,10535.988039325694,2,498
5800,10828.522603351203,3,497
5900,11015.678849891605,6,494
6000,11163.134797200553,12,488
6100,11326.987230429362,4,496
6200,11456.185982558489,3,497
6300,11544.362713655782,4,496
6400,11728.94860636175,0,500
6500,11962.774816557485,0,500
6600,12319.508646210288,0,500
6700,12544.042691354805,0,500
6800,12752.996071476613,0,500
6900,12985.270947032821,0,500
7000,13188.680790542796,2,498
7100,13478.749415798458,6,494
7200,13676.304681821211,3,497
7300,14043.825046385806,1,499
7400,14375.06384219527,1,499
7500,14746.20396021018,0,500
7600,15082.597170933015,0,500
7700,15425.829887315362,0,500
7800,15896.386943666457,0,500
7900,16255.770754021532,1,499
8000,16752.443104089773,1,499
8100,17260.31844772619,2,498
8200,17825.3585404807,0,500
8300,18304.128067634003,0,500
8400,18913.311205910617,1,499
8500,19565.15150663192,0,500
8600,20224.76865031941,3,497
8700,20694.77941676001,3,497
8800,21060.733311558626,6,494
8900,21498.855102780995,4,496
9000,21657.869063086477,7,493
9100,21942.695788587505,9,491
9200,21981.195608301685,12,488
9300,21828.58769293429,14,486
9400,21832.47246675546,10,490
9500,21969.320047663965,2,498
9600,22243.936575392945,0,500
9700,22167.62008610995,0,500
9800,22261.620011502233,0,500
9900,22262.732226882425,1,499
10000,22332.211763080813,2,498
10100,22460.7301526846,3,497
10200,22871.72852314399,1,499
10300,23230.75723651117,3,497
10400,23685.923757242395,4,496
10500,24067.219937746995,1,499
10600,24514.30871712344,1,499
10700,24881.404613032384,1,499
10800,25404.802660630026,0,500
10900,26035.509946090162,0,500
11000,26466.379610477343,0,500
11100,26896.40301650566,3,497
11200,27410.84482022812,6,494
11300,28284.481557029798,2,498
11400,29039.2156157385,0,500
11500,29710.02849806602,3,497
11600,30003.776498957268,4,496
11700,30527.8479844614,2,498
11800,30537.85967806602,0,500
11900,30202.882240222916,1,499
12000,29796.181882855744,1,499
12100,29449.237741135094,0,500
12200,29329.97165381066,0,500
12300,29566.92275841248,0,500
12400,29494.54735950253,2,498
12500,29797.286531243986,0,500
12600,30042.65729877723,2,498
12700,30415.074972293412,2,498
12800,30987.972462782167,2,498
12900,31610.55032715751,3,497
13000,32058.104605745688,1,499
13100,32437.44433224548,1,499
13200,32748.348856242523,4,496
13300,33065.04419512583,5,495
13400,33290.29367915413,6,494
13500,33834.518920009774,3,497
13600,34274.401833814845,2,498
13700,34681.26901803612,3,497
13800,35214.44924872838,0,500
13900,35704.45285646422,0,500
14000,36312.12500015977,0,500
14100,36805.518749855575,0,500
14200,37169.21449499125,0,500
14300,38028.70444012349,0,500
14400,38741.90462794697,1,499
14500,39421.49334368241,1,499
14600,40013.351874927605,3,497
14700,40645.45449546456,0,500
14800,40630.14612194279,0,500
14900,40945.134716155546,0,500
15000,41359.26551595259,0,500
15100,41632.77718457908,1,499
15200,41766.26514024961,1,499
15300,42359.754926163005,4,496
15400,42879.539987291384,3,497
15500,43199.10525317915,7,493
15600,43878.29856509969,6,494
15700,44596.700107742414,8,492
15800,45082.286794702704,3,497
15900,45919.005560391575,0,500
16000,46793.723206009374,1,499
16100,47477.35999459072,0,500
16200,48298.587161364434,0,500
16300,48914.20640885844,1,499
16400,49481.85938678735,1,499
16500,50167.88036104317,0,500
16600,50730.4653492264,1,499
16700,51302.121679765536,2,498
16800,51770.523286422685,0,500
16900,52214.925392998055,0,500
17000,52802.34706586395,0,500
17100,53516.462183023854,0,500
17200,54208.65317128809,0,500
17300,54807.7359941184,2,498
17400,55226.51472068673,1,499
17500,55265.709914124935,0,500
17600,55178.99596567723,0,500
17700,55253.352419384355,0,500
17800,55320.955895815096,0,500
17900,55138.04956148273,0,500
18000,55229.66013082609,0,500
18100,55116.513124875855,1,499
18200,55240.33951402521,2,498
18300,55586.91666221924,2,498
18400,55328.77074931017,2,498
18500,55471.08380635299,1,499
18600,55969.838971277866,1,499
18700,56539.83074986998,1,499
18800,57015.72025978032,1,499
18900,57355.40203133343,1,499
19000,57878.0497410325,0,500
19100,58360.757050458626,1,499
19200,58748.694998269944,0,500
19300,59302.33192801249,0,500
19400,59878.13906825167,1,499
19500,60401.47082209471,0,500
19600,61001.7197512543,0,500
19700,61735.55569958411,2,498
19800,62448.565972685,1,499
19900,63221.31530770099,0,500
20000,63886.486943280615,0,500
20100,64435.64219286202,0,500
20200,65023.76694354434,0,500
20300,65761.60648184305,0,500
20400,66524.40601463268,1,499
20500,67369.086451754,0,500
20600,67887.0664319421,0,500
20700,68782.27402498155,1,499
20800,69254.10536015654,0,500
20900,69798.49939241403,0,500
21000,69946.8909101256,1,499
21100,69782.89452613679,0,500
21200,70037.88108790557,1,499
21300,69966.65462437035,0,500
21400,69679.5906777306,0,500
21500,69755.67200745901,1,499
21600,69435.17864991802,0,500
21700,69214.65406915624,0,500
21800,69262.08846101552,0,500
21900,69139.8738125599,0,500
22000,69027.63006898429,0,500
22100,69084.9858997912,1,499
22200,69157.94721938937,0,500
22300,69724.90839874517,0,500
22400,70237.22493194729,0,500
22500,70968.16383928024,0,500
22600,71396.8550558469,0,500
22700,71891.67644748556,1,499
22800,72544.33964021888,1,499
22900,73291.47839972925,2,498
23000,74068.07053867966,4,496
23100,74941.51939854922,2,498
23200,75788.54350537622,3,497
23300,76636.79018613276,2,498
23400,77550.72562708179,0,500
23500,78234.99678483576,1,499
23600,79010.94934251603,2,498
23700,79509.92313421982,0,500
23800,80145.12963684565,0,500
23900,80944.53476689754,0,500
24000,81799.20748481678,0,500
24100,82691.34917273684,0,500
24200,83699.83007275326,0,500
24300,84793.86977461778,0,500
24400,85895.60235885199,0,500
24500,86932.89572485266,1,499
24600,88156.00870031577,0,500
24700,89006.19829845685,0,500
24800,89593.62690665529,0,500
24900,89930.54866780613,0,500
25000,89736.5931083187,1,499
25100,89549.55101269674,1,499
25200,90124.56672170303,3,497
25300,90241.10841738933,5,495
25400,89828.08333174973,5,495
25500,89473.51366154573,9,491
25600,89232.095476927,8,492
25700,88375.91527533106,6,494
25800,87863.22739412072,7,493
25900,88268.29799937889,6,494
26000,89089.22977936697,4,496
26100,90189.57158133211,4,496
26200,91330.76964541116,2,498
26300,92475.28250778942,3,497
26400,93405.40904903687,4,496
26500,94366.357049661,2,498
26600,95697.2122170147,4,496
26700,97083.43588987234,3,497
26800,98521.73297552537,2,498
26900,99661.62385537401,2,498
27000,100668.03885774875,1,499
27100,101272.54718092934,2,498
27200,102076.62147033974,2,498
27300,102772.99648321047,2,498
27400,103920.85950596418,4,496
27500,105315.15516802685,3,497
27600,106257.95107957048,3,497
27700,107107.66152272951,4,496
27800,108187.39335575835,4,496
27900,108826.33475261054,1,499
28000,109791.83060873336,0,500
28100,110782.09701607928,0,500
28200,111522.40567245269,0,500
28300,111431.6678228004,0,500
28400,112219.93984561431,1,499
28500,112411.25391794661,0,500
28600,112481.64053671333,0,500
28700,112187.84391382297,0,500
28800,111899.29063819724,0,500
28900,110863.97815879862,0,500
29000,110557.21363066054,0,500
29100,111217.18825323108,0,500
29200,111953.39010751965,1,499
29300,113382.13325034484,2,498
29400,114684.36311299197,0,500
29500,115834.89610963596,0,500
29600,117430.25446250511,0,500
29700,119036.01406289675,0,500
29800,120638.47776130584,0,500
29900,122356.29760587472,3,497
30000,124089.3698800343,2,498
30100,126082.90753443977,0,500
30200,128024.03970261574,2,498
30300,129874.59253281858,4,496
30400,131356.5918340414,2,498
30500,132601.92846039138,2,498
30600,133436.15560283593,3,497
30700,134862.13235803464,2,498
30800,136282.8075990763,4,496
30900,137174.1537507131,4,496
31000,137884.60884458464,6,494
31100,138557.7938712879,5,495
31200,138727.79584274543,4,496
31300,138839.41104000193,4,496
31400,139185.05261148125,2,498
31500,139322.49175116036,1,499
31600,138627.62932298155,1,499
31700,138116.69074316128,1,499
31800,138024.95471144878,1,499
31900,138955.2917066195,1,499
32000,140503.22498223072,0,500
32100,142405.5128403049,0,500
32200,144521.92345405358,0,500
32300,145984.34643115115,0,500
32400,147979.50302131334,1,499
32500,149613.48811043773,0,500
32600,151310.75760002024,1,499
32700,153554.4042568797,0,500
32800,155137.6760968691,0,500
32900,156642.25693568838,0,500
33000,158697.38774060988,0,500
33100,160664.42477681205,0,500
33200,163045.28821732776,0,500
33300,165462.01486567192,0,500
33400,168124.4829811082,0,500
33500,170176.1179332693,0,500
33600,172339.29824336458,1,499
33700,173700.48578429705,2,498
33800,174586.17743429993,1,499
33900,174728.67850487077,0,500
34000,175226.62941956092,0,500
34100,175317.27557662604,0,500
34200,175718.35443642776,0,500
34300,175504.83452162638,0,500
34400,176103.16618004537,0,500
34500,177283.2577723926,0,500
34600,178414.23499688145,0,500
34700,179692.4267147795,0,500
34800,180357.36067691722,0,500
34900,181340.2099458326,0,500
35000,183481.52575282185,0,500
35100,184855.39710933887,0,500
35200,186446.99488398022,0,500
35300,188368.3365229449,0,500
35400,190907.31604496491,0,500
35500,193580.40891847288,0,500
35600,196292.00584378134,0,500
