step,msd_global,msd_round,msd_elongated,n_round,n_elongated
0,0.0,0.0,,500,0
100,14.748340885192174,14.748340885192174,,500,0
200,15.858037580981378,15.862768061401939,15.599963593593063,491,9
300,16.114259717142676,15.28908117701308,37.00430591726573,481,19
400,18.191570154205277,15.553830393042247,72.8959991139777,477,23
500,22.318609994193167,17.09464860957541,110.37967333489242,472,28
600,25.299046933010374,17.638730254116357,113.39268874029156,460,40
700,29.53410237251567,19.116854187226362,125.41530505752544,451,49
800,32.04324542850427,19.51891995759964,125.65727140594396,441,59
900,35.156379569757945,19.35609432546394,130.6257087219006,429,71
1000,41.02007265860238,20.20931128000672,153.6116278094661,422,78
1100,49.36892991500419,22.886639976475998,173.35419644538615,412,88
1200,61.791530859584746,24.088294942315454,210.73797770107436,399,101
1300,70.45048383820908,29.583817500725075,218.78134684092876,392,108
1400,79.2725814143045,37.32635631331287,231.52184289197777,392,108
1500,92.57451260617076,46.258211077467706,249.3998844489724,386,114
1600,102.81131084311141,53.76023095971635,256.45064370101824,379,121
1700,110.10743092320077,60.58498276692397,263.5458358664191,378,122
1800,120.46208223278909,68.6401050985611,274.28287150422784,374,126
1900,132.7607798062288,76.95903324576972,294.93460574756307,372,128
2000,142.39357086880148,84.16549951072702,303.0680234132625,367,133
2100,152.4487439343825,83.41910165008004,340.99239375568607,366,134
2200,173.9082797587096,87.0979306365647,406.25362593856795,364,136
2300,178.26232051208427,106.7427421938381,386.11609499948725,372,128
2400,191.28420615820508,118.77252976507593,393.4379706481409,368,132
2500,203.32472748355667,121.63653484185367,419.7686247750762,363,137
2600,207.07363538682077,119.45104517169119,407.6832498267227,348,152
2700,215.5422625159364,121.39964608775814,433.13016406185824,349,151
2800,229.86651750141831,123.68263067292074,464.01560127707955,344,156
2900,243.44471391449665,118.42936642183238,492.7268140046597,333,167
3000,263.1636697379277,142.57069091890904,487.1220589732481,325,175
3100,289.47147521822575,148.83541055165978,550.6527381704198,325,175
3200,321.1902160993616,161.74568665506155,604.6471573336728,320,180
3300,342.97834416838515,180.10941748869513,635.0505534654827,321,179
3400,378.43485535125797,188.32124053807436,719.3648573346765,321,179
3500,406.37648672294023,204.07281477916516,766.0274590674292,320,180
3600,428.77823617869046,224.49338596003213,762.0850970617646,310,190
3700,447.026119137782,232.65449119516077,768.5835610517139,300,200
3800,468.5770362849085,247.83105611109886,781.0339067724749,293,207
3900,479.8674484184184,264.89976769282515,767.1607039675756,286,214
4000,503.37930739951986,256.98736485631747,819.5260464618024,281,219
4100,539.4500846073995,258.4641832082865,911.9197678573863,285,215
4200,569.1300214297731,262.21762131423293,975.9673890247917,285,215
4300,615.698827708979,283.9459259788421,1034.51810183888,279,221
4400,664.4848957706478,321.91465102948644,1076.474661472573,273,227
4500,721.659170241627,373.30930862231,1165.013539575303,280,220
4600,780.3800276556932,456.4204845835071,1250.4389725055319,296,204
4700,819.2425879230875,503.8240324469084,1273.1375823888084,295,205
4800,877.5942099940908,600.2621898639087,1276.6817511570357,295,205
4900,924.1785759200333,620.3936384146249,1372.3365530319725,298,202
5000,946.7905324509602,645.0420253901368,1388.2649491852685,297,203
5100,960.136574009745,653.9330963593643,1400.7708467261461,295,205
5200,990.5767653642037,702.4717829740421,1419.1508436460856,299,201
5300,1013.1630279793649,742.4097885618763,1409.289688604951,297,203
5400,1036.4914396558133,807.6993302110822,1365.7288654421336,295,205
5500,1065.0065921679086,838.735464604801,1404.4132835125697,300,200
5600,1097.360696842079,898.5845050195838,1390.6047818079385,298,202
5700,1154.1027355105896,881.0177861586734,1534.3310621201952,291,209
5800,1206.7426243678299,875.4384379100271,1660.5194484735412,289,211
5900,1254.1401782806322,893.5586160334959,1728.2381582722383,284,216
6000,1305.7832273866022,919.8101401036897,1821.6164188020834,286,214
6100,1371.6859518222445,982.9784094969519,1874.5094698760633,282,218
6200,1436.0613749580339,970.6450913721386,2033.2393461344566,281,219
6300,1465.7515188175753,1014.7872427936259,2039.7060519389652,280,220
6400,1499.679253153496,957.8700734245547,2161.8904728222024,275,225
6500,1561.899074366596,969.6323922062285,2291.6562363141916,276,224
6600,1618.8122100116739,985.6498519754783,2362.089760749816,270,230
6700,1683.2727160639197,926.8756976562545,2502.702819338891,260,240
6800,1766.041478278339,913.2717836723455,2639.5262261946,253,247
6900,1848.2144702247494,947.2796525927052,2700.071126585009,243,257
7000,1921.1978035111847,926.6276545367349,2789.1185702192247,233,267
7100,2005.9938069609361,941.9419210845599,2912.408376411182,230,270
7200,2106.3441951979094,954.859103202474,3018.4524580330026,221,279
7300,2236.375050235236,1023.1264410745213,3189.6418145757966,220,280
7400,2327.6827411836553,1005.7484569051508,3308.7698580872143,213,287
7500,2437.6106963306684,975.327203081064,3531.766876594358,214,286
7600,2558.7128030655235,985.634292224817,3707.2234113263853,211,289
7700,2681.7900212409672,991.3644380097533,3895.8757494035917,209,291
7800,2814.9149132787743,1104.8933495015954,4053.206390496732,210,290
7900,2969.4016827409323,1095.6215250694531,4260.79071032533,204,296
8000,3093.4797252901294,1102.9768318415267,4355.432540090877,194,306
8100,3251.0879617844403,1209.0588817617656,4524.041154525847,192,308
8200,3416.2327994625907,1232.9523635475784,4777.238785487534,192,308
8300,3603.8081131981658,1247.2257738527057,4987.832661702642,185,315
8400,3770.1322805232926,1245.2968040673084,5240.289646560956,184,316
8500,3962.798186734724,1573.2195607484043,5378.281067096047,186,314
8600,4109.1007394431435,1499.5474304651023,5551.6488419216885,178,322
8700,4237.225070102816,1436.8802439030028,5731.887646049957,174,326
8800,4436.758371810216,1445.941174404333,5977.482382595063,170,330
8900,4648.861812053875,1462.4239379492117,6334.65310324686,173,327
9000,4902.495900677021,1466.2417875828573,6688.512476175812,171,329
9100,5158.36513314044,1447.2476592045168,6969.743900180595,164,336
9200,5403.648955950495,1557.579217810176,7213.564126840056,160,340
9300,5660.013848601145,1561.1551625916936,7501.530069851768,155,345
9400,5913.559818756472,1607.8499768606887,7812.042832618303,153,347
9500,6168.207430267314,1394.5598671626622,8136.999928044938,146,354
9600,6447.364347107433,1405.8568065802297,8407.950612868011,140,360
9700,6705.393091854122,1442.4173660903775,8691.695225269088,137,363
9800,6953.357700002339,1438.990226131778,9013.670822107822,136,364
9900,7250.660917181747,1427.3572676950062,9382.69012218509,134,366
10000,7546.578109168332,1462.0809169108252,9797.008577537546,135,365
10100,7908.078088055452,1409.3468395200914,10263.204126353008,133,367
10200,8310.9067887093,1385.1950214686685,10795.129487828222,132,368
10300,8673.942500800127,1357.9088554582079,11271.233578143734,131,369
10400,9086.902201951965,1370.2624281409467,11798.154014372052,130,370
10500,9354.908238596887,1370.7491961552485,12160.153307562865,130,370
10600,9750.365042298186,1372.5471868695138,12693.922667178529,130,370
10700,10153.202062068784,1375.3669381279929,13237.306294804735,130,370
10800,10543.931642542291,1405.8482122158296,13754.609604548885,130,370
10900,10927.275975195633,1409.3571392728256,14271.409620249591,130,370
11000,11369.933604545535,1413.0401750247006,14868.301566269072,130,370
11100,11837.06002096925,1417.4683522831267,15497.9976342914,130,370
11200,12349.736792364653,1421.7580174835352,16189.296902458022,130,370
11300,12845.149294517532,1426.7806946884248,16857.008532295327,130,370
11400,13341.4859916626,1428.2227340115462,17527.2271362427,130,370
11500,13753.11741337714,1405.9663874226462,18091.305611685475,130,370
11600,14232.144805323656,1434.8045355194124,18728.507602822447,130,370
11700,14724.513691863336,1438.9017438858646,19392.43140331488,130,370
11800,15237.519454834575,1443.9418875908111,20083.911573055357,130,370
11900,15770.840299837339,1423.268213876111,20811.879140850742,130,370
12000,16348.731076663993,1428.777997573741,21590.87675310111,130,370
12100,16942.376271599092,1459.3673542421034,22382.352377697494,130,370
12200,17494.937098536448,1463.3211424450399,23127.667029055054,130,370
12300,18099.91824707209,1466.7554761396796,23944.002463886183,130,370
12400,18697.188744738713,1443.9907049161745,24759.12319116285,130,370
12500,19292.459947834122,1449.9577058242357,25561.447222053812,130,370
12600,19839.997635748525,1455.1727844726652,26299.530691602202,130,370
12700,20406.10698224482,1460.8892497873915,27062.53483418932,130,370
12800,21035.386196990465,1467.2253258825087,27910.685962514883,130,370
12900,21718.915178543288,1472.527420458537,28832.51087732982,130,370
13000,22457.10693675756,1480.4312279958158,29827.290293890066,130,370
13100,23179.945597475344,1484.1702253690307,30802.785593080265,130,370
13200,23840.581875284675,1489.3801359584088,31693.706810723637,130,370
13300,24484.0807461335,1493.7925925298487,32561.74955685911,130,370
13400,25168.774503059572,1498.6745605137096,33485.296104494606,130,370
13500,25837.786288570544,1504.3547558217842,34387.3703406174,130,370
13600,26538.511479409965,1510.0528422941172,35332.29424380202,130,370
13700,27231.64308345831,1516.5705237906977,36266.66857739558,130,370
13800,28025.871482219445,1522.6672253956522,37337.80811299538,130,370
13900,28751.931884433423,1526.5927236007458,38317.591589590855,130,370
14000,29626.584497767348,1530.7853484725688,39498.08149616821,130,370
14100,30456.17501826447,1534.5005725294438,40617.84441811731,130,370
14200,31211.749146549508,1535.5264761201554,41638.530084808466,130,370
14300,31996.600420431398,1542.9006351295964,42696.54899364554,130,370
14400,32798.38168100318,1547.6100184407212,43778.38253541702,130,370
14500,33584.20028910204,1551.640262751413,44838.883541603616,130,370
14600,34316.32902880003,1556.5119678420676,45826.53502319066,130,370
14700,35169.966840891684,1563.097335263434,46977.78585638269,130,370
14800,36080.6230801653,1567.4500306225207,48206.87307054519,130,370
14900,36986.1931456629,1572.1089648055397,49428.97947947765,130,370
15000,37954.43100541396,1575.9578499956942,50736.05670866902,130,370
15100,38886.30998090207,1580.6925866696217,51993.68906536211,130,370
15200,39725.95048497845,1585.5980092499017,53126.614868342534,130,370
15300,40560.39900973538,1591.4598598310347,54252.18844078286,130,370
15400,41434.257953403765,1596.4827783153653,55431.31409600238,130,370
15500,42390.43768147084,1601.9194572006684,56721.53867918738,130,370
15600,43257.572503628,1608.2638138547056,57891.11339462942,130,370
15700,44271.37875275381,1613.2955317442647,59259.353938513916,130,370
15800,45367.315471291105,1618.6291354573398,60738.4755352327,130,370
15900,46250.02850449227,1623.618919638782,61929.577818089434,130,370
16000,47274.5784074211,1621.2149113275848,63314.949365508015,130,370
16100,48350.010273006585,1633.9149459185398,64763.773496037524,130,370
16200,49391.86492278984,1638.7718705042425,66169.97869791722,130,370
16300,50418.59358055257,1644.3444837981106,67555.49191184469,130,370
16400,51251.36887002964,1650.3479280312313,68678.75460640746,130,370
16500,52214.78265314381,1657.2332562170413,69978.24595476672,130,370
16600,53348.1547683726,1663.9217090452462,71507.47989732547,130,370
16700,54476.66243968722,1668.9067224172074,73030.73877278208,130,370
16800,55600.64416637725,1674.1761459300742,74547.7815789668,130,370
16900,56765.51285262824,1679.0608130729759,76120.21221787739,130,370
17000,57834.65488633155,1685.0637578256117,77562.88960715797,130,370
17100,58917.00532147571,1692.4987987465274,79022.91301865083,130,370
17200,60020.90431093486,1692.6725381776125,80514.60736622794,130,370
17300,61106.10547065742,1707.485431760503,81975.8908897293,130,370
17400,62245.41737410065,1715.6596048323195,83512.62956330304,130,370
17500,63394.30345668053,1723.677117097295,85062.36135977735,130,370
17600,64450.37324984488,1730.3853243027563,86487.12576422453,130,370
17700,65662.56018807137,1729.7365995014227,88125.44415162299,130,370
17800,66970.18907940465,1736.0106690940236,89890.30581816244,130,370
17900,68256.23274185797,1742.0044184761457,91626.09674737051,130,370
18000,69467.11439109135,1749.0002423061928,93259.96530823209,130,370
18100,70607.91878770053,1756.2725784737715,94799.03772607751,130,370
18200,71911.47331682905,1771.4350429579779,96555.27054818918,130,370
18300,72988.09698280973,1778.7030588956502,98007.61376688765,130,370
18400,74182.29981392557,1780.26487537786,99620.85263017207,130,370
18500,75499.2928811715,1786.9778372707844,101398.21438308255,130,370
18600,76788.86146402426,1793.5720836555372,103138.55773280245,130,370
18700,78180.86800545335,1799.042435139487,105017.7256382663,130,370
18800,79510.6331739111,1805.6005277673437,106812.4014009346,130,370
18900,80842.80059143032,1812.81925922407,108610.09132977306,130,370
19000,82173.48485823841,1821.1271418976803,110405.39432614192,130,370
19100,83458.74963395695,1828.8713241997586,112139.51768873652,130,370
19200,84616.27928583631,1837.0172308036838,113700.88487273965,130,370
19300,86016.9170743913,1845.1326242248058,115590.78728661194,130,370
19400,87407.54807330579,1851.9122770880558,117467.63632603094,130,370
19500,88763.60708335678,1858.5709155775621,119297.8089801441,130,370
19600,90291.78188612961,1886.4094788286163,121353.12894815428,130,370
19700,91733.79320474973,1893.444632633731,123299.32108143912,130,370
19800,93054.18978909138,1900.5491355007925,125081.14461332592,130,370
19900,94575.70712825475,1887.9493209651519,127141.67608757273,130,370
20000,96124.24023649681,1896.4519328998513,129231.30099181469,130,370
20100,97492.73178003677,1905.358048424029,131077.48471276558,130,370
20200,98696.76605712216,1914.9725146646585,132701.18000447212,130,370
20300,100025.03345017313,1923.4908168022664,134493.1430240602,130,370
20400,101548.35922311175,1951.4432361882907,136541.87024554433,130,370
20500,103197.21333797123,1958.4979690892355,138767.57279190273,130,370
20600,104904.53838727724,1966.3162649787387,141072.02183565235,130,370
20700,106405.35739037314,1974.3079871513025,143097.34772123484,130,370
20800,107874.15699583438,1984.2712285199332,145078.71145462053,130,370
20900,109295.16153599843,1993.704479399996,146995.67347480328,130,370
21000,110921.85440321834,2003.594030668248,149190.43237195216,130,370
21100,112426.05940501408,2014.0261675056047,151219.47648846303,130,370
21200,113903.04405716468,2023.823687123543,153211.95932231424,130,370
21300,115407.96553474269,2033.3473551197399,155242.2908410967,130,370
21400,117024.63216360236,2042.8982203489527,157423.619765286,130,370
21500,118690.89028954634,2044.0726020234838,159674.9073148922,130,370
21600,120429.91917783818,2024.8057816840596,162031.7157764869,130,370
21700,122157.5765531041,2018.5933650238098,164368.57064621337,130,370
21800,123910.12987622397,2013.6760323063304,166738.61365922206,130,370
21900,125385.5727368396,1997.9690045980747,168737.9740481677,130,370
22000,126950.81993016473,1994.898785416783,170854.2516837248,130,370
22100,128477.45912767423,1997.3243568396447,172916.425398508,130,370
22200,130111.64666798916,2005.5892161255395,175121.8830699953,130,370
22300,131877.6578103655,2001.9379003361628,177509.66750848395,130,370
22400,133659.2633868261,2005.9689566710224,179915.82629471843,130,370
22500,135431.1053388216,2003.528115491238,182311.0649037755,130,370
22600,137173.6134856733,2011.455164899518,184663.0204632425,130,370
22700,138940.44838845354,2015.1954944904057,187049.32102687308,130,370
22800,140767.86575121008,2021.5609262931287,189516.56744645117,130,370
22900,142470.05161751353,1991.0630143813162,191827.53409969516,130,370
23000,143940.87183650903,1989.9538036939748,193815.5187129035,130,370
23100,145752.04518509918,2006.495642522822,196257.238267626,130,370
23200,147556.04382582783,1996.2614180519502,198698.67007720858,130,370
23300,149345.78159580368,1982.6975359405517,201122.00031953937,130,370
23400,151375.21220391034,1985.1776715634096,203863.60271527545,130,370
23500,153237.49146117587,1992.904244188155,206377.4815644418,130,370
23600,155124.1751903279,1988.8727016100938,208928.47065933677,130,370
23700,157023.55058735528,1990.9109112009116,211494.47804113926,130,370
23800,158641.26488441398,1934.6517885671024,213700.34516133313,130,370
23900,160562.0363772197,1947.334453868536,216291.52624218093,130,370
24000,162370.12470072068,1954.4413782671108,218732.39181401517,130,370
24100,164024.69018997444,1953.1539179851025,220968.74347472738,130,370
24200,165905.87262048345,1933.6666989394482,223517.72875508002,130,370
24300,168006.5300554818,1945.3329082887715,226352.3560801712,130,370
24400,170185.01421544421,1952.753259937564,229293.64644305463,130,370
24500,172158.54355943948,1941.6178680779344,231964.4904239719,130,370
24600,174006.79700631034,1940.6975209266081,234462.45358225598,130,370
24700,176013.20295995628,1933.1990953112995,237176.4475610478,130,370
24800,177773.19668937157,1905.456790203951,239564.56476205212,130,370
24900,179737.64663483217,1897.3519558497235,242222.0744950152,130,370
25000,181673.64187270065,1893.9454507676978,244839.4811560825,130,370
25100,183600.38850694805,1865.0570017766834,247453.3428195759,130,370
25200,185640.0858124042,1856.0157209714855,250212.86719588056,130,370
25300,187888.01273111158,1855.5189935498274,253250.7808010657,130,370
25400,190137.68172753806,1832.3352908117365,256299.01966476627,130,370
25500,192101.44275649433,1827.105428417323,258954.58830419707,130,370
25600,194181.77280525814,1814.8965853062166,261770.13472037637,130,370
25700,196033.9571819647,1790.1719923772423,264281.77359992784,130,370
25800,198006.9102988611,1788.8099940826908,266948.40500054,130,370
25900,200081.49069139926,1780.7661656869568,269754.7182274603,130,370
26000,202094.93988146013,1777.4905665730314,272476.74639750156,130,370
26100,204256.65668909813,1760.0207344939645,275404.12337585096,130,370
26200,206598.20080999326,1731.6120294097464,278578.3536247928,130,370
26300,208782.34733871324,1718.5065540034718,281534.50761442207,130,370
26400,210918.73494777954,1705.3972068897758,284426.12388376787,130,370
26500,213184.97197676662,1681.8356880425297,287496.8847268589,130,370
26600,215332.83798971932,1682.2641928423761,290399.2558102437,130,370
26700,217393.50669549478,1658.4774119257904,293192.3007681001,130,370
26800,219310.27017646952,1637.3742436128978,295789.9363150408,130,370
26900,221520.70942693448,1641.6739242974015,298775.5056846178,130,370
27000,223701.82716363546,1648.0417995126068,301720.72472400294,130,370
27100,226143.5571747602,1652.6791075298138,305018.73054973304,130,370
27200,228532.8549447924,1657.838164182665,308245.69867852016,130,370
27300,230657.84718729186,1661.9512866201685,311115.86466590624,130,370
27400,233005.24583660145,1667.3636536594508,314286.12336033775,130,370
