seed,n_round,max_round,2_max_round,n_elongated,max_elongated,2_max_elongated,n_round_2,max_round_2,2_max_round_2,n_elongated_2,max_elongated_2,2_max_elongated_2,ratio_round,ratio_elongated,ratio_round_2,ratio_elongated_2
1099062448631258,7.8,9934.0,2.0,56.5,2.0,1.2,1.0,9942.2,0.0,51.9,2.6,2.1,0.0002013673322171834,0.6333333333333333,0.0,0.85
853827592514924,7.8,9934.9,1.9,55.9,1.6,1.2,1.0,9943.3,0.0,52.4,2.6,2.0,0.00019127362331343333,0.8,0.0,0.8166666666666668
1052030010736714,9.9,9925.7,2.3,63.0,1.8,1.1,1.0,9936.1,0.0,58.0,2.8,2.3,0.00023173404885424206,0.6833333333333333,0.0,0.8466666666666667
993068073743470,7.6,9927.2,1.8,63.2,2.2,1.7,1.0,9934.7,0.0,54.6,3.2,2.6,0.00018133082892742486,0.775,0.0,0.8433333333333334
375074238073900,7.7,9930.4,1.2,61.6,1.7,1.4,1.0,9937.3,0.0,57.8,2.6,2.1,0.00012083884355287613,0.8833333333333332,0.0,0.8333333333333333
416178520884477,6.4,9931.9,1.3,61.2,1.9,1.3,1.0,9937.6,0.0,56.9,2.8,2.2,0.00013091445786732087,0.7499999999999999,0.0,0.8333333333333334
874051135843279,7.7,9944.1,1.3,48.5,1.3,1.1,1.0,9951.1,0.0,46.0,2.4,1.6,0.0001307280848816613,0.9,0.0,0.6666666666666667
12944511869278,5.3,9945.8,1.4,49.1,1.2,1.0,1.0,9950.7,0.0,47.1,2.1,1.8,0.00014077426919877441,0.9,0.0,0.8666666666666668
542029227742456,8.4,9929.4,1.5,62.3,1.3,1.1,1.0,9937.3,0.0,58.8,2.5,2.2,0.00015106553951932267,0.9,0.0,0.9166666666666667
1011744331896734,6.8,9931.1,2.0,60.8,1.7,1.2,1.0,9938.1,0.0,53.4,4.1,2.7,0.00020143732904493792,0.75,0.0,0.6849999999999999
211701226972609,7.6,9919.3,2.4,71.4,1.8,1.2,1.0,9927.5,0.0,66.0,3.2,2.2,0.00024198330063036406,0.7166666666666666,0.0,0.7083333333333333
292918525777755,11.8,9915.8,2.7,69.8,1.8,1.5,1.0,9928.6,0.0,60.7,3.5,2.7,0.0002723351130454146,0.8666666666666668,0.0,0.7916666666666667
731147908347497,9.2,9929.3,2.1,60.3,1.7,1.1,1.0,9938.8,0.0,52.4,3.2,2.4,0.00021155253543532569,0.7166666666666667,0.0,0.7833333333333333
985549376192247,7.2,9937.1,2.9,54.1,1.4,1.2,1.0,9945.2,0.0,50.9,2.2,2.0,0.0002918811750150539,0.9,0.0,0.9333333333333332
873456432950595,8.1,9925.1,1.2,66.6,1.7,1.3,1.0,9932.4,0.0,61.2,2.7,2.3,0.00012089060737126575,0.8166666666666667,0.0,0.8833333333333332
422219896800918,11.6,9931.1,2.6,55.6,1.5,1.0,1.0,9943.9,0.0,51.2,2.6,2.0,0.00026184199892041315,0.75,0.0,0.8400000000000001
900740014674953,5.8,9938.8,1.7,55.3,1.3,1.1,1.0,9944.3,0.0,53.1,2.2,1.9,0.0001710494736163298,0.9,0.0,0.8833333333333332
1020578668480920,9.1,9936.0,2.2,53.0,1.8,1.3,1.0,9945.9,0.0,46.5,3.6,2.6,0.00022145564133038573,0.7833333333333333,0.0,0.7666666666666667
343569160877337,9.5,9935.6,3.3,52.0,1.8,1.2,1.0,9947.0,0.0,49.0,2.6,2.2,0.000332191504407876,0.7166666666666667,0.0,0.9066666666666666
78804909138230,8.4,9936.7,1.9,54.4,1.6,1.0,1.0,9945.0,0.0,50.6,2.2,2.1,0.00019129189504582073,0.7,0.0,0.9666666666666668
