step,N_round,MAX_round,2_MAX_round,N_elongated,MAX_elongated,2_MAX_elongated,N_round_2,MAX_round_2,2_MAX_round_2,N_elongated_2,MAX_elongated_2,2_MAX_elongated_2
100,946.7734375,6.328125,3.4765625,0.0,0.0,0.0,78.6328125,795.9296875,47.6484375,0.0,0.0,0.0
200,39.1953125,2.953125,2.1953125,474.6796875,25.671875,21.0234375,36.4921875,3.4296875,2.5390625,65.3828125,497.9140625,117.78125
300,49.6953125,4.6875,3.421875,364.609375,48.484375,36.6640625,44.75,5.53125,4.0390625,52.96875,686.125,88.7265625
400,52.0390625,5.890625,4.1484375,327.125,67.1796875,46.2890625,45.875,7.0546875,4.8671875,51.1171875,678.765625,91.5078125
500,52.578125,7.640625,5.15625,308.4375,78.921875,58.703125,45.4765625,9.15625,6.1015625,51.203125,687.0234375,90.8828125
600,52.4453125,9.65625,6.6171875,295.9140625,97.265625,63.3359375,44.703125,11.21875,7.5078125,50.5078125,683.453125,87.6796875
700,52.3359375,11.9296875,7.796875,286.7734375,109.1640625,71.03125,44.1484375,14.3671875,8.953125,52.4609375,678.9375,78.1171875
800,50.515625,14.390625,8.8359375,285.390625,116.09375,75.796875,41.6875,17.0703125,10.4609375,54.3359375,680.4765625,70.1015625
900,49.03125,15.9609375,9.453125,282.6015625,133.71875,78.5,40.65625,19.4375,10.609375,54.59375,653.71875,79.3125
1000,48.890625,18.375,10.7890625,275.75,139.421875,81.1875,40.25,21.1015625,12.25,52.78125,658.265625,79.640625
1100,47.2265625,21.6328125,11.8203125,271.53125,142.3828125,81.921875,38.03125,25.0234375,13.4375,54.1328125,628.921875,98.8203125
1200,45.3359375,24.4140625,12.4296875,269.2109375,156.078125,85.453125,37.1953125,27.96875,14.2890625,54.171875,667.2421875,69.3828125
1300,44.546875,27.375,12.828125,264.828125,168.6640625,85.8203125,36.2421875,31.328125,14.2109375,55.390625,650.3046875,78.375
1400,44.578125,27.78125,12.8515625,264.734375,177.6640625,89.078125,35.7890625,31.640625,14.984375,54.890625,626.203125,93.046875
1500,42.4453125,27.7421875,13.734375,268.1796875,174.828125,95.0390625,34.359375,32.4765625,14.7265625,54.9140625,652.3515625,80.4140625
1600,41.28125,29.09375,14.234375,263.0703125,189.8046875,98.21875,33.2421875,33.203125,15.9921875,53.5859375,665.8984375,68.4296875
1700,40.71875,30.9296875,13.984375,260.421875,189.1640625,96.3671875,33.109375,34.828125,14.8828125,54.765625,660.1796875,73.7421875
1800,40.2421875,29.921875,15.3828125,257.1953125,199.28125,100.296875,32.453125,34.7265625,16.7578125,55.3984375,664.2109375,69.5859375
1900,39.5,33.5546875,14.15625,254.5703125,213.375,93.3125,31.7265625,37.6796875,15.3203125,55.5546875,646.3828125,76.234375
2000,39.5078125,32.734375,14.4609375,255.5078125,211.1328125,97.09375,31.78125,37.6171875,16.0703125,56.2734375,656.5625,73.984375
2100,38.375,34.640625,15.171875,254.234375,220.625,100.5390625,30.875,38.6875,16.9453125,54.359375,658.0,73.96875
2200,37.5625,32.4375,16.96875,253.90625,228.9296875,101.0078125,29.5703125,37.5234375,18.6484375,56.390625,646.6953125,78.8828125
2300,36.9453125,33.7890625,16.8984375,252.546875,242.3671875,99.7109375,29.84375,37.296875,18.296875,54.265625,673.8046875,70.359375
2400,35.9921875,30.8671875,16.75,251.484375,243.0234375,102.5390625,28.6953125,35.921875,17.6953125,54.3984375,667.671875,70.5859375
2500,36.2890625,32.515625,15.3984375,251.5859375,263.796875,94.796875,28.5625,36.7578125,17.28125,54.28125,675.328125,69.921875
2600,34.96875,33.8125,15.578125,247.3125,267.234375,100.6484375,28.125,38.2265625,17.265625,54.578125,678.6640625,62.2421875
2700,34.4921875,32.8984375,15.7890625,245.109375,271.9609375,104.984375,27.7890625,36.984375,17.84375,54.2421875,668.7578125,73.5
2800,34.3828125,33.7578125,15.171875,245.1484375,275.6953125,105.3203125,27.625,37.7109375,16.8671875,54.34375,675.609375,71.8203125
2900,33.9375,34.3828125,15.6328125,245.1015625,285.0546875,97.4375,27.46875,38.828125,16.7890625,54.484375,684.96875,61.34375
3000,34.0234375,36.1953125,15.9765625,246.1875,284.921875,100.8984375,27.40625,40.28125,16.5625,54.765625,677.1484375,70.640625
3100,33.234375,34.6796875,16.453125,245.7109375,279.109375,102.2421875,26.7421875,39.4453125,17.3515625,54.3359375,672.7578125,69.265625
3200,32.6953125,34.9140625,16.1328125,245.15625,268.9609375,112.296875,25.890625,39.265625,17.953125,53.5390625,682.6328125,65.3359375
3300,31.8828125,34.734375,17.15625,243.9140625,272.53125,106.9296875,25.625,39.171875,18.5625,54.3515625,691.53125,62.515625
3400,31.90625,35.078125,17.390625,243.4375,285.7109375,105.4296875,25.6328125,38.625,18.7890625,54.1484375,679.4765625,71.65625
3500,32.421875,34.65625,16.171875,239.0625,303.8515625,104.5546875,25.9921875,39.9921875,17.46875,53.5390625,679.515625,70.2265625
3600,31.4375,34.703125,15.671875,238.234375,331.609375,94.78125,25.40625,39.2578125,17.265625,54.0234375,694.015625,63.234375
3700,30.9921875,33.40625,16.75,235.375,331.7890625,98.171875,25.21875,37.796875,18.1484375,54.140625,684.6015625,67.578125
3800,30.9140625,32.625,16.9296875,235.4296875,333.8984375,95.8046875,24.4609375,37.78125,17.7734375,54.078125,687.1328125,66.9296875
3900,30.2421875,32.1875,15.7578125,236.96875,340.1328125,95.9609375,24.2265625,35.46875,17.171875,52.7734375,708.1796875,56.8125
4000,30.0078125,32.828125,16.1328125,235.59375,343.3125,97.640625,24.3359375,35.7265625,17.5234375,53.2421875,714.8828125,54.09375
4100,30.4453125,30.625,16.1171875,234.734375,340.34375,100.6875,24.359375,34.6484375,17.09375,52.8046875,702.0625,63.734375
4200,30.0859375,31.390625,15.59375,233.625,344.6875,101.9609375,24.4765625,33.8203125,16.8671875,52.65625,688.71875,67.90625
4300,29.328125,30.9296875,15.9140625,233.5625,357.171875,102.53125,23.890625,34.546875,17.2578125,54.140625,692.6484375,65.640625
4400,29.640625,30.4921875,15.1953125,233.1015625,368.8828125,98.9140625,23.6953125,34.5703125,16.171875,54.34375,708.0,57.1484375
4500,29.09375,30.890625,14.9140625,235.484375,369.859375,99.3125,24.0078125,34.28125,16.2109375,55.15625,713.4609375,52.6640625
4600,28.1953125,29.8828125,14.125,234.2578125,377.7578125,89.609375,22.5703125,33.5234375,15.859375,53.5625,718.7421875,49.6484375
4700,28.2578125,29.640625,13.8515625,232.6328125,376.1953125,91.6640625,22.734375,32.84375,14.9375,53.640625,715.1328125,59.265625
4800,27.765625,28.6640625,13.96875,229.7421875,387.890625,90.2890625,22.71875,31.6875,15.1953125,53.3359375,709.5625,65.140625
4900,28.0390625,27.265625,14.953125,228.0859375,402.3828125,88.609375,22.8125,29.96875,16.4140625,54.578125,724.8984375,55.25
5000,27.8984375,28.4453125,14.9609375,226.8203125,394.78125,94.7109375,22.875,31.375,16.28125,54.8203125,712.4296875,57.8984375
5100,27.9140625,30.359375,15.890625,221.1640625,408.703125,91.5078125,22.84375,32.328125,16.984375,53.1953125,714.6640625,62.65625
5200,27.375,31.0,16.234375,223.453125,403.8203125,96.96875,22.140625,33.6171875,17.71875,53.671875,722.4765625,53.3828125
5300,26.953125,31.7890625,16.6484375,224.0390625,408.5703125,92.0859375,21.7109375,35.1953125,18.15625,54.0859375,718.0078125,55.9765625
5400,27.4296875,30.9609375,15.3984375,225.2265625,396.40625,102.53125,22.1328125,34.5703125,15.984375,54.375,728.6171875,51.046875
5500,27.3046875,30.390625,14.703125,223.546875,410.046875,90.359375,22.0234375,33.5625,15.4375,54.3671875,721.4296875,56.0546875
5600,26.640625,30.375,14.28125,223.328125,422.296875,88.546875,21.8671875,32.8828125,15.6640625,53.6796875,722.5546875,57.921875
5700,26.7734375,27.9765625,13.96875,222.1640625,429.984375,80.7578125,21.5390625,30.828125,14.984375,53.359375,728.3828125,55.4296875
5800,27.0859375,27.7421875,13.21875,225.0078125,418.9375,88.203125,21.9453125,29.765625,14.90625,53.546875,731.40625,53.671875
5900,25.8671875,28.3828125,12.796875,224.8671875,417.84375,91.0546875,21.03125,31.5859375,14.0859375,53.8828125,727.5,55.5390625
6000,26.328125,28.4609375,13.28125,222.484375,423.921875,95.078125,21.765625,30.6640625,13.9921875,54.078125,722.984375,60.1328125
6100,25.90625,29.2890625,12.4921875,219.7578125,435.359375,96.015625,21.1328125,31.90625,13.3828125,53.3984375,744.0625,49.046875
6200,25.96875,28.7890625,12.6015625,219.3984375,443.9921875,82.3203125,21.1484375,30.75,13.8125,53.515625,730.421875,57.890625
6300,26.328125,27.9296875,12.6328125,218.5859375,445.921875,83.6875,21.65625,30.4453125,13.9921875,51.8828125,744.359375,46.796875
6400,25.90625,27.96875,13.4375,217.359375,452.328125,84.578125,21.109375,31.3515625,13.7734375,52.2734375,738.2109375,52.8125
6500,25.5625,28.46875,13.9921875,220.15625,456.4609375,75.78125,20.8046875,30.953125,15.25,52.4765625,728.6328125,57.1953125
