step,msd_global,n_round,n_elongated,density
0,0.0,1000.0,0.0,0.7
100,15.551528469847522,1000.0,0.0,0.7
200,19.1670883943587,946.421875,53.578125,0.7
300,24.642531454650218,901.875,98.125,0.7
400,33.47073858845913,854.734375,145.265625,0.7
500,45.43941150170653,809.453125,190.546875,0.7
600,59.64984100849377,769.25,230.75,0.7
700,76.2341612264317,734.109375,265.890625,0.7
800,94.47302712037003,705.140625,294.859375,0.7
900,114.54939482224738,681.625,318.375,0.7
1000,135.02436604530308,660.953125,339.046875,0.7
1100,156.82504061873658,644.546875,355.453125,0.7
1200,181.17344867503843,628.90625,371.09375,0.7
1300,206.6166104001602,616.28125,383.71875,0.7
1400,233.15706433150118,605.21875,394.78125,0.7
1500,260.76841857160105,595.90625,404.09375,0.7
1600,289.05716233674724,585.625,414.375,0.7
1700,317.83198320605624,577.796875,422.203125,0.7
1800,347.4141219603957,569.078125,430.921875,0.7
1900,376.26179514771707,560.75,439.25,0.7
2000,405.59373273187765,551.703125,448.296875,0.7
2100,436.1100943901244,543.140625,456.859375,0.7
2200,469.525604034399,532.765625,467.234375,0.7
2300,504.80216425055136,525.53125,474.46875,0.7
2400,542.2134231894718,518.359375,481.640625,0.7
2500,579.3238805489501,510.40625,489.59375,0.7
2600,618.1536709209176,503.609375,496.390625,0.7
2700,657.5458345872988,497.53125,502.46875,0.7
2800,700.1818029697316,490.0625,509.9375,0.7
2900,745.1292445902466,483.84375,516.15625,0.7
3000,793.5406656255132,477.421875,522.578125,0.7
3100,842.8401106471783,471.109375,528.890625,0.7
3200,892.657487857711,465.625,534.375,0.7
3300,944.9516118073905,459.765625,540.234375,0.7
3400,998.0797225718197,452.75,547.25,0.7
3500,1053.7451746174752,447.5,552.5,0.7
3600,1110.5419630395104,439.640625,560.359375,0.7
3700,1167.1506662515983,433.28125,566.71875,0.7
3800,1225.2113226821023,425.953125,574.046875,0.7
3900,1286.2719498324452,417.78125,582.21875,0.7
4000,1350.697445381829,410.0625,589.9375,0.7
4100,1418.5960257191382,400.96875,599.03125,0.7
4200,1487.086353787051,392.46875,607.53125,0.7
4300,1562.3483419757645,387.609375,612.390625,0.7
4400,1639.1655156309655,380.6875,619.3125,0.7
4500,1722.8399828650956,375.3125,624.6875,0.7
4600,1808.6687856829617,369.875,630.125,0.7
4700,1896.2192140874624,362.671875,637.328125,0.7
4800,1987.6496154926638,357.390625,642.609375,0.7
4900,2084.028558528487,350.734375,649.265625,0.7
5000,2185.276535297037,345.3125,654.6875,0.7
5100,2289.505626347655,338.046875,661.953125,0.7
5200,2398.105555058187,331.921875,668.078125,0.7
5300,2509.341379359782,325.484375,674.515625,0.7
5400,2620.927644606801,317.625,682.375,0.7
5500,2736.2758673290136,310.546875,689.453125,0.7
5600,2857.522407061548,304.78125,695.21875,0.7
5700,2980.0775183984633,299.640625,700.359375,0.7
5800,3107.852789398228,294.71875,705.28125,0.7
5900,3240.669904386849,289.890625,710.109375,0.7
6000,3378.047343640792,284.875,715.125,0.7
6100,3520.13670537112,280.015625,719.984375,0.7
6200,3668.6596517354424,273.234375,726.765625,0.7
6300,3822.081096054031,266.34375,733.65625,0.7
6400,3977.025392950916,259.015625,740.984375,0.7
6500,4140.68199615749,251.90625,748.09375,0.7
6600,4309.628413885802,244.40625,755.59375,0.7
6700,4486.135641779994,236.40625,763.59375,0.7
6800,4664.203420287288,229.046875,770.953125,0.7
6900,4857.03767251282,222.28125,777.71875,0.7
7000,5053.448291116585,215.453125,784.546875,0.7
7100,5255.789938299103,210.625,789.375,0.7
7200,5464.278295172883,206.859375,793.140625,0.7
7300,5679.7281935063465,202.4375,797.5625,0.7
7400,5901.579128492487,197.640625,802.359375,0.7
7500,6128.0126673564855,192.921875,807.078125,0.7
7600,6361.739252119955,188.375,811.625,0.7
7700,6606.435145759414,185.015625,814.984375,0.7
7800,6851.461311932296,180.59375,819.40625,0.7
7900,7108.919034617883,174.84375,825.15625,0.7
8000,7378.1487012436555,170.859375,829.140625,0.7
8100,7652.440259878838,165.71875,834.28125,0.7
8200,7921.631176213921,162.0,838.0,0.7
8300,8201.424848671588,158.296875,841.703125,0.7
8400,8485.852607115055,155.0,845.0,0.7
8500,8787.370308490581,150.71875,849.28125,0.7
8600,9100.295283340683,145.328125,854.671875,0.7
8700,9428.24656410763,140.796875,859.203125,0.7
8800,9758.714658122311,136.5625,863.4375,0.7
8900,10095.589098080585,132.25,867.75,0.7
9000,10444.031271412541,127.578125,872.421875,0.7
9100,10791.05243273777,122.359375,877.640625,0.7
9200,11154.672908897619,117.09375,882.90625,0.7
9300,11535.976098765435,112.609375,887.390625,0.7
9400,11924.876033642448,107.921875,892.078125,0.7
9500,12324.285773909203,104.765625,895.234375,0.7
9600,12726.534390511659,99.421875,900.578125,0.7
9700,13134.513789715566,95.015625,904.984375,0.7
9800,13554.814485819572,92.9375,907.0625,0.7
9900,13992.72994420731,90.5625,909.4375,0.7
10000,14440.831467239428,88.921875,911.078125,0.7
10100,14895.83248068698,87.421875,912.578125,0.7
10200,15370.341644426562,86.25,913.75,0.7
10300,15845.372830251035,84.125,915.875,0.7
10400,16331.699200491144,81.546875,918.453125,0.7
10500,16821.702791296575,79.046875,920.953125,0.7
10600,17322.083912503396,76.765625,923.234375,0.7
