step,msd_global,n_round,n_elongated,density
0,0.0,500.0,0.0,0.01
100,12.114167497595886,500.0,0.0,0.01
200,507.1618844853959,0.0,500.0,0.01
300,996.2884932094676,0.0,500.0,0.01
400,1474.292090186212,0.0,500.0,0.01
500,1985.241218311411,0.0,500.0,0.01
600,2481.4089115415613,0.0,500.0,0.01
700,2986.077591690046,0.0,500.0,0.01
800,3467.415988107899,0.03125,499.96875,0.01
900,3975.4889994733453,0.0,500.0,0.01
1000,4492.0119896182705,0.0,500.0,0.01
1100,5027.220871405683,0.0,500.0,0.01
1200,5565.571129839408,0.0,500.0,0.01
1300,6105.804671380461,0.0,500.0,0.01
1400,6641.4083265364025,0.0,500.0,0.01
1500,7202.104270361621,0.0,500.0,0.01
1600,7748.942120780788,0.0,500.0,0.01
1700,8298.706980158591,0.0,500.0,0.01
1800,8847.717646891379,0.0,500.0,0.01
1900,9405.344348944262,0.0,500.0,0.01
2000,9956.852926109928,0.015625,499.984375,0.01
2100,10530.60373439659,0.015625,499.984375,0.01
2200,11079.337848201734,0.0,500.0,0.01
2300,11635.796872563807,0.015625,499.984375,0.01
2400,12191.805280846085,0.0,500.0,0.01
2500,12751.858354150496,0.0,500.0,0.01
2600,13321.296202391102,0.0,500.0,0.01
2700,13885.330408007016,0.015625,499.984375,0.01
2800,14433.824767234904,0.015625,499.984375,0.01
2900,14995.538378522824,0.0,500.0,0.01
3000,15558.289248599025,0.0,500.0,0.01
3100,16131.528552310376,0.015625,499.984375,0.01
3200,16712.281192283393,0.0,500.0,0.01
3300,17291.877529965714,0.0,500.0,0.01
3400,17880.77390828648,0.0,500.0,0.01
3500,18467.809241928648,0.03125,499.96875,0.01
3600,19060.675979343574,0.015625,499.984375,0.01
3700,19658.584992982007,0.046875,499.953125,0.01
3800,20234.273121152157,0.046875,499.953125,0.01
3900,20836.334332797458,0.0625,499.9375,0.01
4000,21425.356754254928,0.0,500.0,0.01
4100,22026.264681509027,0.0625,499.9375,0.01
4200,22623.882802332773,0.0,500.0,0.01
4300,23261.695462578373,0.0,500.0,0.01
4400,23901.021180536638,0.0,500.0,0.01
4500,24498.337089133136,0.0,500.0,0.01
4600,25113.624254466886,0.015625,499.984375,0.01
4700,25732.581907300224,0.015625,499.984375,0.01
4800,26353.65406473185,0.0,500.0,0.01
4900,26966.22037243141,0.015625,499.984375,0.01
5000,27576.79972167046,0.03125,499.96875,0.01
5100,28239.66231336691,0.03125,499.96875,0.01
5200,28850.42026708781,0.015625,499.984375,0.01
5300,29452.79965433494,0.0,500.0,0.01
5400,30069.242347460597,0.0,500.0,0.01
5500,30684.55605836569,0.015625,499.984375,0.01
5600,31338.445911720493,0.03125,499.96875,0.01
5700,31972.00708773235,0.0,500.0,0.01
5800,32633.479861828586,0.03125,499.96875,0.01
5900,33355.50127920588,0.0,500.0,0.01
6000,34003.5427808736,0.015625,499.984375,0.01
6100,34655.291448067095,0.015625,499.984375,0.01
6200,35274.7588985209,0.015625,499.984375,0.01
